Velocity,LanePos,Steer,SpeedLimit,Accel,Brake,LongAccel,LatAccel,HeadwayTime,HeadwayDist
7.915971286,0.331817143,1.7715,13.92997714,0.078926857,0.183125571,-0.093304714,-0.253433857,4.889285714,18.74467143
7.294710588,0.304547059,-1.0285,11.111,0.083590294,0.175103971,0.137469853,-0.084352059,1.440602941,12.50635294
12.7339359,-0.126102564,-0.379615385,11.111,0.354862821,0,1.49675,0.02825,0,0
21.02961389,0.169,-0.313425926,11.111,0.157466667,0,-0.024257407,-0.025237963,0,0
13.53888778,-0.259066667,0.978666667,11.111,0.099861111,0.097902222,-1.223706667,-0.039946667,2.075111111,10.43957778
7.286338931,0.016229008,-15.26919847,11.111,0.131196183,0.065377099,0.309241221,-0.284133969,9.962412214,29.09974046
12.69830227,0.179068182,0.332954545,11.111,0.167396591,0.047514773,-0.349751136,-0.003311364,1.478681818,18.39122727
6.536026471,0.263117647,-1.471764706,18.95394118,0.041467647,0.202567647,-1.664188235,-0.022047059,22.34541176,3.757470588
16.08248077,-0.035634615,-13.76230769,24.444,0.437713462,0,1.438079808,-1.061391346,2.964903846,34.05911538
19.34625,0.289323529,-10.83426471,22.09111765,0.044639706,0.169472059,-2.077720588,-1.256698529,1.287823529,23.84852941
8.563079245,0.104792453,-0.15009434,11.111,0.142608491,0.004562264,0.703351887,0.00739717,2.316698113,13.23901887
9.786372283,-0.217369565,0.354456522,11.111,0.062321196,0.024857065,-0.38882663,-0.011932065,0.842858696,7.545923913
0.338088462,0.087076923,-1.953461538,11.111,2.78E-16,0.049971154,-0.18015,-0.000186538,31.97473077,3.349538462
3.85E-06,0.077,-1.968076923,11.111,2.78E-16,0.227284615,-0.000133333,-4.35E-15,0,2.817615385
0.005666667,0.0759375,0.13109375,11.111,2.78E-16,0.227175,-5.21E-06,1.30E-05,4.863916667,2.7330625
0.272757609,0.073282609,5.35423913,11.111,0.010446739,0.145606522,0.168728261,0.000595652,15.8436087,2.729173913
9.18658587,0.24576087,-40.19956522,11.111,0.15888913,0,0.721129348,-0.764218478,1.621847826,15.27997826
11.67254189,0.034108108,-0.077027027,11.111,0.068789189,0.015460811,-0.266305405,-0.003509459,0.601351351,7.005027027
8.880086364,-0.053363636,0.044886364,11.111,0.064105682,0.042630682,-0.484273864,-0.003115909,0.745318182,4.808181818
9.797061,-0.02418,0.2593,11.111,0.225112,0.022019,0.607847,-0.005101,1.27636,9.868
10.67616042,-0.170375,0.499791667,11.111,0.184477083,0.049752083,-0.0298875,0.016258333,1.063625,10.69208333
10.42350306,-0.058081633,-2.099693878,11.111,0.07345,0.013704082,-0.203273469,-0.052210204,0.88577551,8.730877551
12.35477439,0.100780488,-0.449878049,11.111,0.359445122,0,1.635953659,0.003892683,0,0
22.5679087,0.378086957,-0.136304348,11.111,0.215908696,0,0.078867391,-0.012352174,0,0
23.69355,0.550878049,-0.082073171,11.111,0.19822561,0,-0.004976829,-0.00557561,0,0
4.731746729,0.199345794,-15.87266355,11.111,0.086188318,0.162584579,-0.249907009,-0.39614486,11.14043925,10.99869159
19.934218,0.1846,-0.5676,11.111,0.468066,0,1.199584,-0.038784,2.39244,47.12976
23.4858963,0.291222222,0.328703704,11.111,0.160753704,0.039783333,-0.704264815,0.018224074,0.802888889,19.40174074
11.16359844,0.07784375,-1.245,19.02746875,0.158426563,0.105698438,-0.44485625,-0.0497625,0.98403125,10.424625
19.77206528,0.350416667,-18.35638889,24.444,0.353034722,0,0.868331944,-1.601873611,1.777722222,34.47413889
18.03696486,0.143918919,-10.12459459,21.92154054,0.065708108,0.101736486,-1.431428378,-1.051385135,0.718108108,14.66551351
15.42936818,0.019863636,0.423181818,11.111,0.450253409,0.008678409,1.223317045,0.018696591,1.431840909,29.22363636
13.11141087,0.01073913,-1.513695652,11.111,0.044182609,0.062570652,-0.921686957,-0.046707609,1.062717391,13.1391087
1.194186364,0.073072727,4.809909091,11.111,0,0.119895455,-0.517079091,0.013893636,2.204490909,4.383727273
3.898252885,0.229346154,-25.84682692,11.111,0.104976923,0.041486538,0.610116346,-0.806946154,1.940634615,9.005480769
12.87184464,0.196214286,0.56125,11.111,0.119123214,0,0.165619643,0.025271429,1.118785714,14.25346429
11.2607275,0.226025,0.016,11.111,0.0610175,0,-0.1186325,-0.00094375,0.4842,5.400525
6.582821795,0.218358974,-0.576025641,11.111,0.050648718,0.069634615,-0.638307692,0.003003846,1.463128205,5.331769231
8.4663625,0.05465,-0.02975,11.111,0.2055075,0,1.2819025,0.0008175,0.76285,5.96595
11.06351915,-0.005212766,0.273723404,11.111,0.139662766,0.017852128,0.086305319,0.006860638,0.686340426,7.443595745
7.462091667,0.090027778,0.708611111,11.111,0.020027778,0.053301389,-0.811029167,-0.006056944,0.820916667,4.452583333
7.494082895,0.239078947,-1.392631579,11.111,0.117934211,0.036796053,0.383060526,-0.044017105,2.604342105,15.23357895
10.46935732,0.251829268,0.606829268,11.111,0.262673171,0,1.284120732,0.001747561,0.043878049,0.762
19.25685938,0.568875,0.0684375,11.111,0.361440625,0,0.6579375,0.0030625,0.1274375,2.288375
20.27748824,0.657647059,-1.173235294,11.111,0.143297059,0,-0.079714706,-0.072238235,0,0
20.58420476,0.243238095,-0.765238095,11.111,0.127419048,0,-0.150669048,-0.041116667,0,0
7.780877737,0.190562044,-13.25058394,11.111,0.095372993,0.094454015,-0.091883212,-0.274470438,16.8879927,12.48394161
19.260512,-0.03764,-0.1772,11.111,0.208632,0,0.440024,-0.011434,3.24376,62.32888
19.13855238,0.192380952,0.139047619,11.111,0.084,0,-0.249078571,0.011680952,1.841904762,35.09952381
12.97132143,0.125357143,0.360892857,12.06335714,0.004757143,0.040816071,-1.00425,0.00685,0.818214286,11.28742857
10.6212375,-0.187875,-4.055833333,24.444,0.244466667,0,0.87355,-0.180552083,3.148958333,35.23420833
18.41641136,0.298863636,-17.47454545,24.444,0.254959091,0,0.553434091,-1.409729545,3.650272727,67.46977273
19.88112317,-0.083,-14.19353659,24.444,0.13852439,0.017541463,-0.289941463,-1.376104878,1.84804878,37.75892683
